MEX2: Luis Malagón
COD8: Rocky Bushiri
COD9: Axel Tuanzebe
COD10: Samuel Moutoussamy
COD11: Edo Kayembe
COD12: Charles Pickel
COD14: Meschack Elia
COD15: Grady Diangana
COD16: Yoane Wissa
COD17: Cédric Bakambu
COD18: Simon Banza
COD19: Silas Katompa Mvumpa
COD20: Fiston Mayele
UZB2: Utkir Yusupov
UZB3: Abduvohid Nematov
UZB4: Rustam Ashurmatov
UZB5: Husniddin Aliqulov
UZB6: Abdukodir Khusanov
UZB7: Zafarmurod Abdirakhmatov
UZB8: Khodjiakbar Alijonov
UZB9: Farrukh Sayfiev
UZB10: Otabek Shukurov
UZB11: Odiljon Hamrobekov
UZB12: Abbosbek Fayzullaev
UZB14: Jaloliddin Masharipov
UZB15: Azizbek Turgunboev
UZB16: Eldor Shomurodov
UZB17: Igor Sergeev
UZB18: Bobir Abdikholikov
UZB19: Khojiakbar Alijonov
UZB20: Abbosbek Fayzullayev
COL2: Camilo Vargas
COL3: Álvaro Montero
COL4: Daniel Muñoz
COL5: Dávinson Sánchez
COL6: Jhon Lucumí
COL7: Yerry Mina
COL8: Johan Mojica
COL9: Santiago Arias
COL10: Jefferson Lerma
COL11: Richard Ríos
COL12: Kevin Castaño
COL14: Jhon Arias
COL15: James Rodríguez
COL16: Luis Díaz
COL17: Jhon Durán
COL18: Rafael Santos Borré
COL19: Marino Hinestroza
COL20: Luis Suárez
ENG2: Jordan Pickford
ENG3: Dean Henderson
ENG4: Reece James
ENG5: Trent Alexander-Arnold
ENG6: Levi Colwill
ENG7: Ezri Konsa
ENG8: Marc Guéhi
ENG9: Dan Burn
ENG10: Declan Rice
ENG11: Jude Bellingham
ENG12: Conor Gallagher
ENG14: Curtis Jones
ENG15: Bukayo Saka
ENG16: Cole Palmer
ENG17: Anthony Gordon
ENG18: Phil Foden
ENG19: Harry Kane
ENG20: Ollie Watkins
CRO2: Dominik Livaković
CRO3: Ivica Ivušić
CRO4: Joško Gvardiol
CRO5: Josip Šutalo
CRO6: Josip Stanišić
CRO7: Duje Ćaleta-Car
CRO8: Borna Sosa
CRO9: Marin Pongračić
CRO10: Luka Modrić
CRO11: Mateo Kovačić
CRO12: Petar Sučić
CRO14: Lovro Majer
CRO15: Martin Baturina
CRO16: Luka Sučić
CRO17: Ivan Perišić
CRO18: Andrej Kramarić
CRO19: Ante Budimir
CRO20: Franjo Ivanović
GHA2: Benjamin Asare
GHA3: Lawrence Ati-Zigi
GHA4: Alexander Djiku
GHA5: Gideon Mensah
GHA6: Mohammed Salisu
GHA7: Jerome Opoku
GHA8: Tariq Lamptey
